g:10 12 25 99 45 20 16 28 64 20 15 14 8 36 11 16
i:* 2 * 3 5 5 5 5 * 8 9 * 11 11 14 18

g:60 23 13 6 12 112 17 48 22 18 105 30 26 7 19 9
i:* * 2 3 3 3 * 6 * 8 12 14 * 16 * 21

g:35 150 41 77 297 17 133 38 52 352 26 360 66 42 264 18
i:* * * * 7 8 * 11 * * * * 30 * 33 *

g:252 260 13 30 25 144 36 30 48 21 40 30 224 56 46 22
i:1 * * * * 6 8 10 14 * * 23 24 26 28 42

g:252 260 13 30 25 144 36 30 48 21 40 30 224 56 46 22
i:1 2 2 5 6 6 8 10 14 16 21 23 24 26 28 42

g:252 260 13 30 25 144 36 30 48 21 40 30 224 56 46 22
i:* 2 2 * * 6 6 8 10 14 16 21 * * 26 28 *

